Op[3] A[4] B[4] ALUout[8]
001 1000 1011 00010011
001 1000 1100 00010100
001 1000 1101 00010101
001 1000 1110 00010110
001 1000 1111 00010111
001 1001 0000 00001001
001 1001 0001 00001010
001 1001 0010 00001011
001 1001 0011 00001100
001 1001 0100 00001101
001 1001 0101 00001110
001 1001 0110 00001111
001 1001 0111 00010000
001 1001 1000 00010001
001 1001 1001 00010010
001 1001 1010 00010011
001 1001 1011 00010100
001 1001 1100 00010101
001 1001 1101 00010110
001 1001 1110 00010111
001 1001 1111 00011000
001 1010 0000 00001010
001 1010 0001 00001011
001 1010 0010 00001100
001 1010 0011 00001101
001 1010 0100 00001110
001 1010 0101 00001111
001 1010 0110 00010000
001 1010 0111 00010001
001 1010 1000 00010010
001 1010 1001 00010011
001 1010 1010 00010100
001 1010 1011 00010101
001 1010 1100 00010110
001 1010 1101 00010111
001 1010 1110 00011000
001 1010 1111 00011001
001 1011 0000 00001011
001 1011 0001 00001100
001 1011 0010 00001101
001 1011 0011 00001110
001 1011 0100 00001111
001 1011 0101 00010000
001 1011 0110 00010001
001 1011 0111 00010010
001 1011 1000 00010011
001 1011 1001 00010100
001 1011 1010 00010101
001 1011 1011 00010110
001 1011 1100 00010111
001 1011 1101 00011000
001 1011 1110 00011001
001 1011 1111 00011010
001 1100 0000 00001100
001 1100 0001 00001101
001 1100 0010 00001110
001 1100 0011 00001111
001 1100 0100 00010000
001 1100 0101 00010001
001 1100 0110 00010010
001 1100 0111 00010011
001 1100 1000 00010100
001 1100 1001 00010101
001 1100 1010 00010110
001 1100 1011 00010111
001 1100 1100 00011000
001 1100 1101 00011001
001 1100 1110 00011010
001 1100 1111 00011011
001 1101 0000 00001101
001 1101 0001 00001110
001 1101 0010 00001111
001 1101 0011 00010000
001 1101 0100 00010001
001 1101 0101 00010010
001 1101 0110 00010011
001 1101 0111 00010100
001 1101 1000 00010101
001 1101 1001 00010110
001 1101 1010 00010111
001 1101 1011 00011000
001 1101 1100 00011001
001 1101 1101 00011010
001 1101 1110 00011011
001 1101 1111 00011100
001 1110 0000 00001110
001 1110 0001 00001111
001 1110 0010 00010000
001 1110 0011 00010001
001 1110 0100 00010010
001 1110 0101 00010011
001 1110 0110 00010100
001 1110 0111 00010101
001 1110 1000 00010110
001 1110 1001 00010111
001 1110 1010 00011000
001 1110 1011 00011001
001 1110 1100 00011010
001 1110 1101 00011011
001 1110 1110 00011100
001 1110 1111 00011101
001 1111 0000 00001111
001 1111 0001 00010000
001 1111 0010 00010001
001 1111 0011 00010010
001 1111 0100 00010011
001 1111 0101 00010100
001 1111 0110 00010101
001 1111 0111 00010110
001 1111 1000 00010111
001 1111 1001 00011000
001 1111 1010 00011001
001 1111 1011 00011010
001 1111 1100 00011011
001 1111 1101 00011100
001 1111 1110 00011101
001 1111 1111 00011110
010 0000 0000 00000000
010 0000 0001 00000001
010 0000 0010 00000010
010 0000 0011 00000011
010 0000 0100 00000100
010 0000 0101 00000101
010 0000 0110 00000110
010 0000 0111 00000111
010 0000 1000 00001000
010 0000 1001 00001001
010 0000 1010 00001010
010 0000 1011 00001011
010 0000 1100 00001100
010 0000 1101 00001101
010 0000 1110 00001110
010 0000 1111 00001111
010 0001 0000 00000001
010 0001 0001 00000010
010 0001 0010 00000011
010 0001 0011 00000100
010 0001 0100 00000101
010 0001 0101 00000110
010 0001 0110 00000111
010 0001 0111 00001000
010 0001 1000 00001001
010 0001 1001 00001010
010 0001 1010 00001011
010 0001 1011 00001100
010 0001 1100 00001101
010 0001 1101 00001110
010 0001 1110 00001111
010 0001 1111 00010000
010 0010 0000 00000010
010 0010 0001 00000011
010 0010 0010 00000100
010 0010 0011 00000101
010 0010 0100 00000110
010 0010 0101 00000111
010 0010 0110 00001000
010 0010 0111 00001001
010 0010 1000 00001010
010 0010 1001 00001011
010 0010 1010 00001100
010 0010 1011 00001101
010 0010 1100 00001110
010 0010 1101 00001111
010 0010 1110 00010000
010 0010 1111 00010001
010 0011 0000 00000011
010 0011 0001 00000100
010 0011 0010 00000101
010 0011 0011 00000110
010 0011 0100 00000111
010 0011 0101 00001000
010 0011 0110 00001001
010 0011 0111 00001010
010 0011 1000 00001011
010 0011 1001 00001100
010 0011 1010 00001101
010 0011 1011 00001110
010 0011 1100 00001111
010 0011 1101 00010000
010 0011 1110 00010001
010 0011 1111 00010010
010 0100 0000 00000100
010 0100 0001 00000101
010 0100 0010 00000110
010 0100 0011 00000111
010 0100 0100 00001000
010 0100 0101 00001001
010 0100 0110 00001010
010 0100 0111 00001011
010 0100 1000 00001100
010 0100 1001 00001101
010 0100 1010 00001110
010 0100 1011 00001111
010 0100 1100 00010000
010 0100 1101 00010001
010 0100 1110 00010010
010 0100 1111 00010011
010 0101 0000 00000101
010 0101 0001 00000110
010 0101 0010 00000111
010 0101 0011 00001000
010 0101 0100 00001001
010 0101 0101 00001010
010 0101 0110 00001011
010 0101 0111 00001100
010 0101 1000 00001101
010 0101 1001 00001110
010 0101 1010 00001111
010 0101 1011 00010000
010 0101 1100 00010001
010 0101 1101 00010010
010 0101 1110 00010011
010 0101 1111 00010100
010 0110 0000 00000110
010 0110 0001 00000111
010 0110 0010 00001000
010 0110 0011 00001001
010 0110 0100 00001010
010 0110 0101 00001011
010 0110 0110 00001100
010 0110 0111 00001101
010 0110 1000 00001110
010 0110 1001 00001111
010 0110 1010 00010000
010 0110 1011 00010001
010 0110 1100 00010010
010 0110 1101 00010011
010 0110 1110 00010100
010 0110 1111 00010101
010 0111 0000 00000111
010 0111 0001 00001000
010 0111 0010 00001001
010 0111 0011 00001010
010 0111 0100 00001011
010 0111 0101 00001100
010 0111 0110 00001101
010 0111 0111 00001110
010 0111 1000 00001111
010 0111 1001 00010000
010 0111 1010 00010001
010 0111 1011 00010010
010 0111 1100 00010011
010 0111 1101 00010100
010 0111 1110 00010101
010 0111 1111 00010110
010 1000 0000 00001000
010 1000 0001 00001001
010 1000 0010 00001010
010 1000 0011 00001011
010 1000 0100 00001100
010 1000 0101 00001101
010 1000 0110 00001110
010 1000 0111 00001111
010 1000 1000 00010000
010 1000 1001 00010001
010 1000 1010 00010010
010 1000 1011 00010011
010 1000 1100 00010100
010 1000 1101 00010101
010 1000 1110 00010110
010 1000 1111 00010111
010 1001 0000 00001001
010 1001 0001 00001010
010 1001 0010 00001011
010 1001 0011 00001100
010 1001 0100 00001101
010 1001 0101 00001110
010 1001 0110 00001111
010 1001 0111 00010000
010 1001 1000 00010001
010 1001 1001 00010010
010 1001 1010 00010011
010 1001 1011 00010100
010 1001 1100 00010101
010 1001 1101 00010110
010 1001 1110 00010111
010 1001 1111 00011000
010 1010 0000 00001010
010 1010 0001 00001011
010 1010 0010 00001100
010 1010 0011 00001101
010 1010 0100 00001110
010 1010 0101 00001111
010 1010 0110 00010000
010 1010 0111 00010001
010 1010 1000 00010010
010 1010 1001 00010011
010 1010 1010 00010100
010 1010 1011 00010101
010 1010 1100 00010110
010 1010 1101 00010111
010 1010 1110 00011000
010 1010 1111 00011001
010 1011 0000 00001011
010 1011 0001 00001100
010 1011 0010 00001101
010 1011 0011 00001110
010 1011 0100 00001111
010 1011 0101 00010000
010 1011 0110 00010001
010 1011 0111 00010010
010 1011 1000 00010011
010 1011 1001 00010100
010 1011 1010 00010101
010 1011 1011 00010110
010 1011 1100 00010111
010 1011 1101 00011000
010 1011 1110 00011001
010 1011 1111 00011010
010 1100 0000 00001100
010 1100 0001 00001101
010 1100 0010 00001110
010 1100 0011 00001111
010 1100 0100 00010000
010 1100 0101 00010001
010 1100 0110 00010010
010 1100 0111 00010011
010 1100 1000 00010100
010 1100 1001 00010101
010 1100 1010 00010110
010 1100 1011 00010111
010 1100 1100 00011000
010 1100 1101 00011001
010 1100 1110 00011010
010 1100 1111 00011011
010 1101 0000 00001101
010 1101 0001 00001110
010 1101 0010 00001111
010 1101 0011 00010000
010 1101 0100 00010001
010 1101 0101 00010010
010 1101 0110 00010011
010 1101 0111 00010100
010 1101 1000 00010101
010 1101 1001 00010110
010 1101 1010 00010111
010 1101 1011 00011000
010 1101 1100 00011001
010 1101 1101 00011010
010 1101 1110 00011011
010 1101 1111 00011100
010 1110 0000 00001110
010 1110 0001 00001111
010 1110 0010 00010000
010 1110 0011 00010001
010 1110 0100 00010010
010 1110 0101 00010011
010 1110 0110 00010100
010 1110 0111 00010101
010 1110 1000 00010110
010 1110 1001 00010111
010 1110 1010 00011000
010 1110 1011 00011001
010 1110 1100 00011010
010 1110 1101 00011011
010 1110 1110 00011100
010 1110 1111 00011101
010 1111 0000 00001111
010 1111 0001 00010000
010 1111 0010 00010001
010 1111 0011 00010010
010 1111 0100 00010011
010 1111 0101 00010100
010 1111 0110 00010101
010 1111 0111 00010110
010 1111 1000 00010111
010 1111 1001 00011000
010 1111 1010 00011001
010 1111 1011 00011010
010 1111 1100 00011011
010 1111 1101 00011100
010 1111 1110 00011101
010 1111 1111 00011110
011 0000 0000 00000000
011 0000 0001 00010001
011 0000 0010 00100010
011 0000 0011 00110011
011 0000 0100 01000100
011 0000 0101 01010101
011 0000 0110 01100110
011 0000 0111 01110111
011 0000 1000 10001000
011 0000 1001 10011001
011 0000 1010 10101010
011 0000 1011 10111011
011 0000 1100 11001100
011 0000 1101 11011101
011 0000 1110 11101110
011 0000 1111 11111111
011 0001 0000 00010001
011 0001 0001 00010000
011 0001 0010 00110011
011 0001 0011 00110010
011 0001 0100 01010101
011 0001 0101 01010100
011 0001 0110 01110111
011 0001 0111 01110110
011 0001 1000 10011001
011 0001 1001 10011000
011 0001 1010 10111011
011 0001 1011 10111010
011 0001 1100 11011101
011 0001 1101 11011100
011 0001 1110 11111111
011 0001 1111 11111110
011 0010 0000 00100010
011 0010 0001 00110011
011 0010 0010 00100000
011 0010 0011 00110001
011 0010 0100 01100110
011 0010 0101 01110111
011 0010 0110 01100100
011 0010 0111 01110101
011 0010 1000 10101010
011 0010 1001 10111011
011 0010 1010 10101000
011 0010 1011 10111001
011 0010 1100 11101110
011 0010 1101 11111111
011 0010 1110 11101100
011 0010 1111 11111101
011 0011 0000 00110011
011 0011 0001 00110010
011 0011 0010 00110001
011 0011 0011 00110000
011 0011 0100 01110111
011 0011 0101 01110110
011 0011 0110 01110101
011 0011 0111 01110100
011 0011 1000 10111011
011 0011 1001 10111010
011 0011 1010 10111001
011 0011 1011 10111000
011 0011 1100 11111111
011 0011 1101 11111110
011 0011 1110 11111101
011 0011 1111 11111100
011 0100 0000 01000100
011 0100 0001 01010101
011 0100 0010 01100110
011 0100 0011 01110111
011 0100 0100 01000000
011 0100 0101 01010001
011 0100 0110 01100010
011 0100 0111 01110011
011 0100 1000 11001100
011 0100 1001 11011101
011 0100 1010 11101110
011 0100 1011 11111111
011 0100 1100 11001000
011 0100 1101 11011001
011 0100 1110 11101010
011 0100 1111 11111011
011 0101 0000 01010101
011 0101 0001 01010100
011 0101 0010 01110111
011 0101 0011 01110110
011 0101 0100 01010001
011 0101 0101 01010000
011 0101 0110 01110011
011 0101 0111 01110010
011 0101 1000 11011101
011 0101 1001 11011100
011 0101 1010 11111111
011 0101 1011 11111110
011 0101 1100 11011001
011 0101 1101 11011000
011 0101 1110 11111011
011 0101 1111 11111010
011 0110 0000 01100110
011 0110 0001 01110111
011 0110 0010 01100100
011 0110 0011 01110101
011 0110 0100 01100010
011 0110 0101 01110011
011 0110 0110 01100000
011 0110 0111 01110001
011 0110 1000 11101110
011 0110 1001 11111111
011 0110 1010 11101100
011 0110 1011 11111101
011 0110 1100 11101010
011 0110 1101 11111011
011 0110 1110 11101000
011 0110 1111 11111001
011 0111 0000 01110111
011 0111 0001 01110110
011 0111 0010 01110101
011 0111 0011 01110100
011 0111 0100 01110011
011 0111 0101 01110010
011 0111 0110 01110001
011 0111 0111 01110000
011 0111 1000 11111111
011 0111 1001 11111110
011 0111 1010 11111101
011 0111 1011 11111100
011 0111 1100 11111011
011 0111 1101 11111010
011 0111 1110 11111001
011 0111 1111 11111000
011 1000 0000 10001000
011 1000 0001 10011001
011 1000 0010 10101010
011 1000 0011 10111011
011 1000 0100 11001100
011 1000 0101 11011101
011 1000 0110 11101110
011 1000 0111 11111111
011 1000 1000 10000000
011 1000 1001 10010001
011 1000 1010 10100010
011 1000 1011 10110011
011 1000 1100 11000100
011 1000 1101 11010101
011 1000 1110 11100110
011 1000 1111 11110111
011 1001 0000 10011001
011 1001 0001 10011000
011 1001 0010 10111011
011 1001 0011 10111010
011 1001 0100 11011101
011 1001 0101 11011100
011 1001 0110 11111111
011 1001 0111 11111110
011 1001 1000 10010001
011 1001 1001 10010000
011 1001 1010 10110011
011 1001 1011 10110010
011 1001 1100 11010101
011 1001 1101 11010100
011 1001 1110 11110111
011 1001 1111 11110110
011 1010 0000 10101010
011 1010 0001 10111011
011 1010 0010 10101000
011 1010 0011 10111001
011 1010 0100 11101110
011 1010 0101 11111111
011 1010 0110 11101100
011 1010 0111 11111101
011 1010 1000 10100010
011 1010 1001 10110011
011 1010 1010 10100000
011 1010 1011 10110001
011 1010 1100 11100110
011 1010 1101 11110111
011 1010 1110 11100100
011 1010 1111 11110101
011 1011 0000 10111011
011 1011 0001 10111010
011 1011 0010 10111001
011 1011 0011 10111000
011 1011 0100 11111111
011 1011 0101 11111110
011 1011 0110 11111101
011 1011 0111 11111100
011 1011 1000 10110011
011 1011 1001 10110010
011 1011 1010 10110001
011 1011 1011 10110000
011 1011 1100 11110111
011 1011 1101 11110110
011 1011 1110 11110101
011 1011 1111 11110100
011 1100 0000 11001100
011 1100 0001 11011101
011 1100 0010 11101110
011 1100 0011 11111111
011 1100 0100 11001000
011 1100 0101 11011001
011 1100 0110 11101010
011 1100 0111 11111011
011 1100 1000 11000100
011 1100 1001 11010101
011 1100 1010 11100110
011 1100 1011 11110111
011 1100 1100 11000000
011 1100 1101 11010001
011 1100 1110 11100010
011 1100 1111 11110011
011 1101 0000 11011101
011 1101 0001 11011100
011 1101 0010 11111111
011 1101 0011 11111110
011 1101 0100 11011001
011 1101 0101 11011000
011 1101 0110 11111011
011 1101 0111 11111010
011 1101 1000 11010101
011 1101 1001 11010100
011 1101 1010 11110111
011 1101 1011 11110110
011 1101 1100 11010001
011 1101 1101 11010000
011 1101 1110 11110011
011 1101 1111 11110010
011 1110 0000 11101110
011 1110 0001 11111111
011 1110 0010 11101100
011 1110 0011 11111101
011 1110 0100 11101010
011 1110 0101 11111011
011 1110 0110 11101000
011 1110 0111 11111001
011 1110 1000 11100110
011 1110 1001 11110111
011 1110 1010 11100100
011 1110 1011 11110101
011 1110 1100 11100010
011 1110 1101 11110011
011 1110 1110 11100000
011 1110 1111 11110001
011 1111 0000 11111111
011 1111 0001 11111110
011 1111 0010 11111101
011 1111 0011 11111100
011 1111 0100 11111011
011 1111 0101 11111010
011 1111 0110 11111001
011 1111 0111 11111000
011 1111 1000 11110111
011 1111 1001 11110110
011 1111 1010 11110101
011 1111 1011 11110100
011 1111 1100 11110011
011 1111 1101 11110010
011 1111 1110 11110001
011 1111 1111 11110000
100 0000 0000 00000000
100 0000 0001 00000001
100 0000 0010 00000001
100 0000 0011 00000001
100 0000 0100 00000001
100 0000 0101 00000001
100 0000 0110 00000001
100 0000 0111 00000001
100 0000 1000 00000001
100 0000 1001 00000001
100 0000 1010 00000001
100 0000 1011 00000001
100 0000 1100 00000001
100 0000 1101 00000001
100 0000 1110 00000001
100 0000 1111 00000001
100 0001 0000 00000001
100 0001 0001 00000001
100 0001 0010 00000001
100 0001 0011 00000001
100 0001 0100 00000001
100 0001 0101 00000001
100 0001 0110 00000001
100 0001 0111 00000001
100 0001 1000 00000001
100 0001 1001 00000001
100 0001 1010 00000001
100 0001 1011 00000001
100 0001 1100 00000001
100 0001 1101 00000001
100 0001 1110 00000001
100 0001 1111 00000001
100 0010 0000 00000001
100 0010 0001 00000001
100 0010 0010 00000001
100 0010 0011 00000001
100 0010 0100 00000001
100 0010 0101 00000001
100 0010 0110 00000001
100 0010 0111 00000001
100 0010 1000 00000001
100 0010 1001 00000001
100 0010 1010 00000001
100 0010 1011 00000001
100 0010 1100 00000001
100 0010 1101 00000001
100 0010 1110 00000001
100 0010 1111 00000001
100 0011 0000 00000001
100 0011 0001 00000001
100 0011 0010 00000001
100 0011 0011 00000001
100 0011 0100 00000001
100 0011 0101 00000001
100 0011 0110 00000001
100 0011 0111 00000001
100 0011 1000 00000001
100 0011 1001 00000001
100 0011 1010 00000001
100 0011 1011 00000001
100 0011 1100 00000001
100 0011 1101 00000001
100 0011 1110 00000001
100 0011 1111 00000001
100 0100 0000 00000001
100 0100 0001 00000001
100 0100 0010 00000001
100 0100 0011 00000001
100 0100 0100 00000001
100 0100 0101 00000001
100 0100 0110 00000001
100 0100 0111 00000001
100 0100 1000 00000001
100 0100 1001 00000001
100 0100 1010 00000001
100 0100 1011 00000001
100 0100 1100 00000001
100 0100 1101 00000001
100 0100 1110 00000001
100 0100 1111 00000001
100 0101 0000 00000001
100 0101 0001 00000001
100 0101 0010 00000001
100 0101 0011 00000001
100 0101 0100 00000001
100 0101 0101 00000001
100 0101 0110 00000001
100 0101 0111 00000001
100 0101 1000 00000001
100 0101 1001 00000001
100 0101 1010 00000001
100 0101 1011 00000001
100 0101 1100 00000001
100 0101 1101 00000001
100 0101 1110 00000001
100 0101 1111 00000001
100 0110 0000 00000001
100 0110 0001 00000001
100 0110 0010 00000001
100 0110 0011 00000001
100 0110 0100 00000001
100 0110 0101 00000001
100 0110 0110 00000001
100 0110 0111 00000001
100 0110 1000 00000001
100 0110 1001 00000001
100 0110 1010 00000001
100 0110 1011 00000001
100 0110 1100 00000001
100 0110 1101 00000001
100 0110 1110 00000001
100 0110 1111 00000001
100 0111 0000 00000001
100 0111 0001 00000001
100 0111 0010 00000001
100 0111 0011 00000001
100 0111 0100 00000001
100 0111 0101 00000001
100 0111 0110 00000001
100 0111 0111 00000001
100 0111 1000 00000001
100 0111 1001 00000001
100 0111 1010 00000001
100 0111 1011 00000001
100 0111 1100 00000001
100 0111 1101 00000001
100 0111 1110 00000001
100 0111 1111 00000001
100 1000 0000 00000001
100 1000 0001 00000001
100 1000 0010 00000001
100 1000 0011 00000001
100 1000 0100 00000001
100 1000 0101 00000001
100 1000 0110 00000001
100 1000 0111 00000001
100 1000 1000 00000001
100 1000 1001 00000001
100 1000 1010 00000001
